Request_Number,Request_Type,Source,Summary,Date_Complete_Received,Decision_Communicated,Name,Number_of_Pages_Released
AG-2012-00630,General Records,Public,"A copy of the file no. 09 104824 PRS 00 IV, the verdict of hearing, the letter of appeal involving {an individual} and any other communication relating to these documents.","April 11, 2012","May 8, 2012",All Disclosed,10
PHI-2012-00637,Personal Health Information,Public,A copy of the Kipling Acres file for {an individual}.,"April 11, 2012","May 2, 2012",All Disclosed,258
AG-2012-00631,General Records,Public,A copy of all pictures taken at {an address} in or around March 2012. Toronto Water took pictures of the underground pipes with a snake camera.,"April 11, 2012","April 26, 2012",Disclosed in Part: No Records Exist,9
AP-2012-00645,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 11, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,143
AP-2012-00646,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 11, 2012","May 2, 2012",Disclosed in Part: Partially Exempt,225
AG-2012-00661,General Records,Public,A copy of files from Toronto Water relating to sewer back up for {an address} from January 2008 to April 2012.,"April 12, 2012","May 8, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00708,General Records,Public,"A copy of the two fire reports for {an address}. The incidents occurred on December 12, 2006 and December 17, 2006. Fire Report No.'s F06138892 and F06140768. Also include any warnings given to any parties and all instructions from Fire.","April 12, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,17
AP-2012-00648,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 12, 2012","May 4, 2012",Disclosed in Part: Partially Exempt,125
AP-2012-00649,Personal Information,Public,A copy of the Ontario Works file for {an individual} from 2004 to present.,"April 12, 2012","May 23, 2012",Disclosed in Part: Partially Exempt,384
AG-2012-00654,General Records,Public,"All complaints involving City staff or building inspector regarding {an address}, including the details of the report and results. Also all building and construction permits, tree records, and parking issues with related call records.","April 12, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,90
AG-2012-00655,General Records,Public,"A copy of the Public Health file no. 104881 regarding a rabies report victim, {an individual}.","April 12, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,11
AP-2012-00650,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 12, 2012","May 3, 2012",Disclosed in Part: Partially Exempt,190
AG-2012-00662,General Records,Public,"A copy of the entire file # 10-299-079 relating to {an individual}, Scarborough.","April 13, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,178
AG-2012-00664,General Records,Business,"A list of all building permits for {an address}, Toronto.","April 13, 2012","April 19, 2012",All Disclosed,7
AG-2012-00665,General Records,Business,"A copy of the Contract between the City of Toronto and {a named company} for security service provision at Union Station, 65 Front Street West.  The Contract awarded related to RFP# 9101-08-7168.","April 13, 2012","May 11, 2012",All Disclosed,20
AG-2012-00685,General Records,Public,"A copy of the health report regarding the visit to {an address}. On or about January 21 or 22, 2008 a health inspector visited this unit for mould in the carpet.","April 13, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,31
AG-2012-00657,General Records,Public,A copy of the service request for the intersection of Bathurst Street and Fleet Street from October 2011.,"April 13, 2012","April 19, 2012",No Records Exist,0
AG-2012-00658,General Records,Business,"A copy of all building permit applications submitted by  {a named company} regarding {a named company} from 2003 to present, as well as all permits on file. Also contents of all files containing communications with the City and interested parties.","April 13, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,122
AP-2012-00659,Personal Information,Public,"A copy of the employee file for {an individual} from January 14, 2010 to present.","April 13, 2012","May 10, 2012",All Disclosed,28
AG-2012-00660,General Records,Business,"A copy of any records relating to the servicing or inspection of the sewer/drainage system in and around {an address}, including reports, photos, documents, videos, etc.  Specifically any work completed on or around August 25, 2011.","April 13, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,7
AP-2012-00656,Personal Information,Public,"A copy of the overpayment letter issued in 2002 from the Ontario Works file for {an individual} and associates documents (i,e. the first cheque stub issued indicating the start of the very first recovery payment dated 2002 and the overpayment amount).","April 13, 2012","May 4, 2012",All Disclosed,10
AG-2012-00669,General Records,Business,"Copies of any maintenance records, construction records, but not limited to work orders, contracts, and road closures for July 2011 for the sidewalk area of {an address}, Scarborough.","April 16, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,22
AP-2012-00672,Personal Information,Public,A copy of Ontario Works file for {an individual} from November 2008 to present.,"April 16, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,76
AG-2012-00673,General Records,Business,"Information on the Street Furniture Agreement signed July 20, 2007 relating to RFP # 91903-06-7316 (dated Sept. 8, 2006) between the City of Toronto and Astral Media Outdoor.  Please see attached request.","April 16, 2012","May 16, 2012",All Disclosed,22
AG-2012-00686,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 15, 2012.","April 16, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00687,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on March 14, 2012. Fire Report No.: F12028222.","April 16, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,5
AP-2012-00693,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 16, 2012","May 18, 2012",Disclosed in Part: Partially Exempt,152
AG-2012-00663,General Records,Public,"A copy of meeting minutes between Toronto Region Conservation Authority and Toronto Building and City Planning staff relating to the house inspection at {an address}, Scarborough.  The meeting was held  on Jan. 15, 2008.","April 16, 2012","May 11, 2012",Disclosed in Part: No Records Exist,1
AG-2012-00666,General Records,Public,"Copies of any records relating to the servicing or inspection of the sewer/drainage system in and around {an address} Etobicoke, including, but not limited to report, photographs, documents and videotapes.","April 16, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,20
AG-2012-00667,General Records,Business,"A copy of building permit file # 84-002359-00 for {an address}, Toronto.","April 16, 2012","May 14, 2012",Disclosed in Part: No Records Exist,1
AG-2012-00668,General Records,Public,A copy of all building inspection reports for {an address} from April 2000 to November 2011.,"April 16, 2012","May 11, 2012",All Disclosed,63
AP-2012-00691,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 16, 2012","May 10, 2012",All Disclosed,97
AG-2012-00717,General Records,Public,"A copy of records relating to sidewalk repairs in front of {an address} around March 13, 2012.. The whole in the sidewalk was from work completed by Toronto Water approximately 1.5 years ago.","April 16, 2012","May 14, 2012",All Disclosed,17
AP-2012-00692,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 16, 2012","April 19, 2012",Transferred Out in Full,0
AG-2012-00684,General Records,Media,"A copy of all inspection reports made and received between January 1, 2011 and January 17, 2012) related to bridges, viaducts, overpass or other similar constructions located within the limits of the City of Toronto.","April 17, 2012","May 11, 2012",All Disclosed,230
AG-2012-00675,General Records,Public,"A list of properties purchased or sold by the City of Toronto during the last year. The list should include the name of the buyer, seller, address, transaction, the area, and any other fields of information kept.  Please provide in Excel spreadsheet.","April 17, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00677,General Records,Public,"A copy of all maintenance records for the sidewalk and road outside of Malvern Town Centre from November 17, 2011 to present.","April 17, 2012","May 11, 2012",All Disclosed,6
AG-2012-00680,General Records,Media,"A copy of all EMS records relating to the Sunrise Propane explosion on {an address}.  Records should include, but not limited to reports, studies, emails with attachments, memos, directives, briefing notes, analysis, documents and assessments.","April 17, 2012","June 29, 2012",Disclosed in Part: Partially Exempt,412
AG-2012-00681,General Records,Media,"A copy of all fire incident reports, fire prevention reports, and all related records concerning the 2008 Sunrise Propane explosion that occurred August 10, 2008 at {an address}.","April 17, 2012","June 28, 2012",Disclosed in Part: Partially Exempt,813
AG-2012-00678,General Records,Association,A copy of the 2011 (actual) and 2012 (projected) parks budget numbers for Ward 18 including all expenses and revenues.,"April 17, 2012","May 9, 2012",All Disclosed,16
AG-2012-00678,General Records,Association,A copy of the 2011 (actual) and 2012 (projected) parks budget numbers for Ward 18 including all expenses and revenues.,"April 17, 2012","May 9, 2012",All Disclosed,3
AG-2012-00679,General Records,Association,A copy of the 2011 (actual) and 2012 (projected) recreation budget numbers for Ward 18 including all expenses and revenues.,"April 17, 2012","May 9, 2012",All Disclosed,0
AG-2012-00682,General Records,Media,"A copy of all health hazard investigations and hazardous material records relating to the propane filling stations in Toronto, not limited to the Sunrise Propane property at {an address}.","April 17, 2012","June 27, 2012",All Disclosed,25
AG-2012-00676,General Records,Public,A copy of the detailed receipts and reimbursement documents for the most recent out of province trip by Mayor Ford.,"April 17, 2012","May 8, 2012",Nothing Disclosed (exemption),0
AG-2012-00683,General Records,Media,"A copy of all records relating to the regulation and zoning of propane stations in Toronto from January 1, 2005 to present.  Records should include, but not limited to reports, studies, emails with attachments, memos, directives, briefing notes, analysis.","April 17, 2012","May 15, 2012",All Disclosed,807
AP-2012-00674,Personal Information,Public,"A copy of complete employment file for {an individual}, including payroll and attendance records, performance evaluations, job descriptions, job applications and medical records.","April 17, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,70
AG-2012-00688,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 24, 2012","April 17, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-00690,General Records,Public,"A copy of the fire report for {an address}. The incident occurred on October 10, 2011. Fire Report No. F11132705.","April 17, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,11
AP-2012-00695,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 17, 2012","May 29, 2012",Disclosed in Part: Partially Exempt,412
AG-2012-00715,General Records,Public,A copy of all ML&S and Public Health records relating to {an address} as well as the common areas of the building.,"April 17, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,79
AG-2012-00716,General Records,Public,A copy of the fire prevention inspection conducted in March 2012 at {an address}.,"April 17, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00689,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 8, 2012.","April 17, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,12
AP-2012-00694,Personal Information,Public,A copy of the Ontario Works file for {an individual} from 2005 to present.,"April 17, 2012","May 18, 2012",Disclosed in Part: Partially Exempt,385
AP-2012-00696,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 17, 2012","May 23, 2012",Disclosed in Part: Partially Exempt,235
AG-2012-00700,General Records,Business,A copy of all invoices for four of the charges added to the tax certificate for {an address}.,"April 18, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00702,General Records,Public,A copy of all Public Health reports regarding the Patty King beef patty box that was picked up by Public Health from {an address} in March or April 2008. The Patty King beef patty box was purchased from No Frills at Albion Mall.,"April 18, 2012","May 11, 2012",No Records Exist,0
AP-2012-00697,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 18, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,356
AP-2012-00698,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 18, 2012","April 30, 2012",Disclosed in Part: Partially Exempt,184
AG-2012-00704,General Records,Business,"A copy of the fire report for {an address}, Etobicoke. The incident occurred on April 9, 2012.","April 18, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00738,General Records,Public,All documents relating to building permit and public works (Toronto Water) for {an address}.,"April 18, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,187
AG-2012-00701,General Records,Public,A copy of any records showing the reasons as to why the Urban Forestry Division denied a request to destroy a tree on {an address}.,"April 18, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00703,General Records,Business,"A copy of the fire report for {an address}, Etobicoke. The incident occurred on March 20, 2012 at approximately 10:30 p.m.","April 18, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00705,General Records,Business,"A copy of the fire report for {an address}, North York. The incident occurred on March 15, 2012.","April 18, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,7
AP-2012-00699,Personal Information,Public,A copy of the Ontario Works file for {an individual} from April 2009 to present.,"April 18, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,221
AG-2012-00719,General Records,Public,"A copy of the building documents for {an address}, including file no.'s: 199376 and 283680.","April 18, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,19
AG-2012-00718,General Records,Public,"A copy of all building permits relating to {an address}, specifically any permits from 1980 or 1981. File No. 1980021378BLD and 1512221 00HH.","April 18, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,30
AG-2012-00706,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on July 10, 2010 and the fire was in the 3rd floor stairwell.","April 19, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00712,General Records,Public,A copy of any records related to any initiative over the past year to improve processing time and efficiency in processing Freedom of Information requests.,"April 19, 2012","May 14, 2012",All Disclosed,19
AG-2012-00724,General Records,Public,"A copy of all records relating to a stop sign that was erected at Wychwood Avenue and Benson Avenue, including any records relating to trees or shrubs blocking the stop sign at {an address}.","April 19, 2012","May 16, 2012",All Disclosed,7
AG-2012-00714,General Records,Public,"A copy of the water shut-off records for {an address} from June 1, 2010  to present. Including the dates and times for which the water was shut off.","April 19, 2012","May 9, 2012",Disclosed in Part: Partially Exempt,9
AP-2012-00722,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 19, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,340
AP-2012-00723,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 19, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,291
AP-2012-00721,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 19, 2012","May 31, 2012",Disclosed in Part: Partially Exempt,270
AG-2012-00709,General Records,Public,A copy of records showing the number of cell phones issued to employees of the City of Toronto and the cost of cell phone used for the two most recent completed budget years.,"April 19, 2012","June 5, 2012",All Disclosed,1
AG-2012-00711,General Records,Public,"A list of all vehicles in the City of Toronto's passenger-vehicle fleet, including the model, model year, and how many are in the fleet.","April 19, 2012","May 17, 2012",All Disclosed,8
AP-2012-00720,Personal Information,Public,A copy of the Support Payment Agreement for {an individual} in the Ontario Works file of {an individual}.,"April 19, 2012","April 27, 2012",All Disclosed,3
AG-2012-00734,General Records,Public,"A copy of the entire file, including permits drawings, revised drawings, reports by engineers, building inspectors' notes, comments by other City staff relating to {an address}.","April 20, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,144
AG-2012-00735,General Records,Business,"A copy of video of Agenda Item 2 relating to the North St. James Town of the Design Review Panel meeting held on March 19, 2012 at City Hall, Committee Room 2.","April 20, 2012","May 10, 2012",All Disclosed,1
AG-2012-00732,General Records,Public,All information for Cab-Ambassador {A49} where {an individual} was driver for Beck but is currently driver for Crown Taxi.,"April 20, 2012","May 22, 2012",Disclosed in Part: Partially Exempt,116
AG-2012-00725,General Records,Public,"A copy of the archived records relating to the development of Sutton Place Hotel. Fonds 200, Series 368, File 123.","April 20, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,100
AG-2012-00727,General Records,Public,"A copy of any reports, briefing notes, communications between government officials and related interest groups (email and other correspondence) leading up to the referendum held in 1997 regarding a possible casino in the City of Toronto.","April 20, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,242
AP-2012-00729,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 20, 2012","May 23, 2012",Disclosed in Part: Partially Exempt,827
AP-2012-00730,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 20, 2012","April 20, 2012",Transferred Out in Full,0
AG-2012-00726,General Records,Public,A copy of the contractor statement from Minutemen Contracting Inc. in regards to water proofing at {an address}. File No. B20709.,"April 20, 2012","May 10, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00731,General Records,Public,"A copy of any and all records relating to the demolition and construction of {an address}, Toronto.  Records to include but not limited to permits, approvals, inspections notes, OMB notes and decisions, and notes from Heritage Preservation Service","April 20, 2012","June 11, 2012",Disclosed in Part: Partially Exempt,187
AP-2012-00728,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 20, 2012","May 22, 2012",Disclosed in Part: Partially Exempt,452
AG-2012-00733,General Records,Public,"A copy of all demolition, construction and related permits and plans relating to {an address","April 20, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,33
AP-2012-00736,Personal Information,Public,"A copy of the entire employment file for {an individual} including, but not limited to payroll records, attendance records, performance reviews and medical file to present date.","April 23, 2012","May 29, 2012",Disclosed in Part: Partially Exempt,536
AG-2012-00737,General Records,Association,A copy of Memorandum of Understanding between the City of Toronto and the Toronto Zoo / Zoo Board of Management.  Retention schedule for the Toronto Zoo.  Descriptions of roles and responsibilities of all management positions at the Zoo.,"April 23, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,130
AG-2012-00760,General Records,Public,"A copy of all documents pertaining to work orders issued by the City of Toronto to the building at {an address} from May 15, 2011 to present, especially where the building fails to meet code, building standards or violations.","April 24, 2012","May 17, 2012",All Disclosed,166
AG-2012-00761,General Records,Public,"A copy of the records and reports relating to the mould and flooding at {an address}. Records from February 1, 2012 to March 1, 2012.","April 24, 2012","May 14, 2012",All Disclosed,5
AP-2012-00739,Personal Information,Public,A copy of entire social assistance file for {an individual}.,"April 24, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,234
AP-2012-00742,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 24, 2012","June 4, 2012",Disclosed in Part: Partially Exempt,443
AG-2012-00744,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on December 25, 2011.","April 24, 2012","May 15, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00745,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 17, 2012.","April 24, 2012","May 18, 2012",Disclosed in Part: Partially Exempt,12
AP-2012-00741,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 24, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,111
AG-2012-00748,General Records,Public,"A copy of the ferry service income, outlay, and profit in reference to Centreville/Far Enough Farm.","April 24, 2012","May 16, 2012",All Disclosed,1
AG-2012-00767,General Records,Public,"A copy of the building and fire inspection reports for the basement apartment at {an address}, including any building permits issued to this basement apartment.","April 24, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00740,General Records,Public,A copy of the official record of the hearing for the ML&S dog muzzle incident involving {an individual} residing at {an address}.,"April 24, 2012","May 24, 2012",All Disclosed,1
AP-2012-00743,Personal Information,Public,A copy of the employee file for {an individual}.,"April 24, 2012","April 27, 2012",All Disclosed,368
AP-2012-00751,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 25, 2012","May 29, 2012",All Disclosed,265
AG-2012-00752,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on August 18, 2011.","April 25, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,7
AG-2012-00753,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 2, 2012. Fire Report F12035085.","April 25, 2012","May 14, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00746,General Records,Public,"A copy of any records showing the water shut off dates which would affect water service to {an address} between January 1, 2011 to December 31, 2011.","April 25, 2012","May 7, 2012",Disclosed in Part: Partially Exempt,44
AG-2012-00747,General Records,Business,A copy of all building permit applications for {an address}.,"April 25, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,153
AP-2012-00749,Personal Information,Public,"A copy of the employment file for {an individual} from December 23, 2008 to present.","April 25, 2012","May 24, 2012",All Disclosed,21
AP-2012-00750,Personal Information,Public,A copy of the employment file for {an individual}.,"April 25, 2012","May 22, 2012",Disclosed in Part: No Records Exist,431
AG-2012-00754,General Records,Public,"A copy of all building documents for {an address} since the house was built, including all building activity.","April 25, 2012","April 27, 2012",Disclosed in Part: Partially Exempt,5
AG-2012-00755,General Records,Business,"A copy of the building permit history, inspection history, inspection reports, and orders to comply for {an address} from 2008 to 2011.","April 26, 2012","May 25, 2012",All Disclosed,1
AP-2012-00756,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 26, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,213
AG-2012-00772,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on April 17, 2012.","April 26, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00779,General Records,Public,"A copy of the two fire inspection reports for {an address} from March 20 and 23, 2012.","April 26, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,8
AP-2012-00758,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 26, 2012","May 16, 2012",All Disclosed,62
AG-2012-00776,General Records,Public,"A copy of the Public Health report for poor air quality at {an address}, Etobicoke. The inspection was completed on April 24, 2012 around 10 a.m.","April 26, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,6
AG-2012-00777,General Records,Public,"A copy of the old City of Etobicoke's ""Windows on the Lake"" initiative.","April 26, 2012","May 24, 2012",All Disclosed,51
AG-2012-00778,General Records,Public,"A copy of the complaint that was filed against {an address} relating to an eavestrough infraction. Also all notes, reports, emails and electronic records from anyone involved with this matter.","April 26, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00759,General Records,Public,"A copy of the video record of agenda item #2 (Fort York Neighbourhood Block 4) of Design Review Panel meeting held in Committee Room 2 at City Hall on April 16, 2012.","April 26, 2012","May 10, 2012",All Disclosed,1
AG-2012-00757,General Records,Public,"A copy of the fire report for a motor vehicle accident that occurred on Crescent Town Road. The incident occurred on January 13, 2012. Please include all available information.","April 26, 2012","May 25, 2012",Disclosed in Part: No Records Exist,5
AG-2012-00790,General Records,Public,"A copy of the 911 call transcript for the slip and fall incident that occurred at an address. The incident occurred on September 2, 2007 at approximately 6:30 p.m.","April 26, 2012","May 25, 2012",Disclosed in Part: Partially Exempt,2
AP-2012-00765,Personal Information,Public,A copy of the employment file for {an individual} from 2006 to present.,"April 27, 2012","May 25, 2012",All Disclosed,92
AP-2012-00769,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 27, 2012","May 11, 2012",Disclosed in Part: Partially Exempt,91
AP-2012-00771,Personal Information,Public,A copy of the Ontario Works file for {an individual} from 2006 to present.,"April 27, 2012","June 4, 2012",All Disclosed,81
AG-2012-00773,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 17, 2012.","April 27, 2012","May 18, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00774,General Records,Business,"A copy of the fire report for {an address}, Scarborough. The incident occurred on March 27, 2012.","April 27, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-00796,General Records,Public,"A copy of the ML&S complaint file for {an address}. The file no. 12154754 ION 00IV, including the complaint and/or complainant record.","April 27, 2012","May 28, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-00780,General Records,Public,"A copy of the file no. B12043 related to a company called X Maple Air Heating + Cooling, including records related to {an individual}.","April 27, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,32
AG-2012-00797,General Records,Public,"A copy of all files, emails and correspondence concerning the construction at {an address}, including items concerning permits, orders, and violations. Also any new information since 2009 and all information concerning {an address}.","April 27, 2012","May 22, 2012",Disclosed in Part: Partially Exempt,68
AP-2012-00766,Personal Information,Public,A copy of the employment file for {an individual}.,"April 27, 2012","May 25, 2012",All Disclosed,101
AG-2012-00768,General Records,Public,A copy of the building or demolition permit issued to {an address} between 1959 and 1979.,"April 27, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,3
AP-2012-00770,Personal Information,Public,A copy of the Ontario Works file for {an individual}.,"April 27, 2012","May 1, 2012",Transferred Out in Full,0
AG-2012-00762,General Records,Public,"A copy of the dog attack records relating to the incident at {an address}, including investigation documents, notes, witness statements, photos, videos, etc. The incident occurred on December 25, 2011.","April 27, 2012","May 9, 2012",No Records Exist,0
AG-2012-00763,General Records,Public,"A copy of all contracts between PAWS and the Toronto Zoo and any elephant transfer agreement information, including all email and/or references to the Toronto Zoo or Toronto Zoo elephants. All correspondence from PAWS and Zoocheck to any zoo employees.","April 27, 2012","June 25, 2012",Disclosed in Part: Partially Exempt,147
AG-2012-00781,General Records,Public,A copy of all building permits available for {an address}.,"April 27, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,13
AG-2012-00764,General Records,Public,"A copy of ML&S records relating to {an address}, including all correspondence. File No.'s 11 284460PRS00IV and 11 284444PRS00IV. Records and correspondence between September 25, 2011 and November 1, 2011.","April 27, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,2
AG-2012-00764,General Records,Public,"A copy of ML&S records relating to {an address}, including all correspondence. File No.'s 11 284460PRS00IV and 11 284444PRS00IV. Records and correspondence between September 25, 2011 and November 1, 2011.","April 27, 2012","May 16, 2012",Disclosed in Part: Partially Exempt,3
AG-2012-00784,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 21, 2012.","April 30, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,12
AG-2012-00785,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 1, 2012.","April 30, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00791,General Records,Public,"A copy of the video footage from the FGG Jarvis Gardiner camera looking eastbound and the FGG Cherry Street camera looking westbound for the one hour period near the time of the accident which occurred at 2:50 a.m. on June 15, 2007.","April 30, 2012","May 24, 2012",No Records Exist,0
AP-2012-00792,Personal Information,Public,"A copy of all applications for hostel subsidy and assistance from December 2002 to April 1, 2010 for {an individual}.","April 30, 2012","June 20, 2012",All Disclosed,67
AG-2012-00798,General Records,Public,"A copy of the fire report for the motor vehicle fire that occurred at McCowan Road and Eglinton Avenue. The incident occurred on March 20, 2012 around 11:00 a.m.","April 30, 2012","May 30, 2012",Disclosed in Part: Partially Exempt,2
AP-2012-00782,Personal Information,Public,"A copy of the clinical notes and records with respect to {an individual} from January 1, 2003 to present.","April 30, 2012","May 14, 2012",All Disclosed,177
AG-2012-00783,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on March 29, 2012.","April 30, 2012","May 30, 2012",Disclosed in Part: Partially Exempt,9
AG-2012-00801,General Records,Public,"A copy of the RESCU Camera #20 (Lakeshore Blvd. West) from October 30, 2011 between 11:45 a.m. and 12:15 p.m.","April 30, 2012","May 28, 2012",All Disclosed,10
AG-2012-00802,General Records,Public,"A copy of all active or inactive permits and all inspection notes and documents pertaining to any work to be done at {an address} from May 8, 2009 to present.","April 30, 2012","May 24, 2012",Disclosed in Part: Partially Exempt,20
AG-2012-00803,General Records,Government,A copy of all information in the City Manager's Office or Ombudsman's Office regarding any cases involving {an address}.,"May 1, 2012","June 14, 2012",No Records Exist,0
AG-2012-00804,General Records,Government,A copy of all information in the City Manager's Office or Ombudsman's Office regarding any cases involving {an address}.,"May 1, 2012","June 14, 2012",All Disclosed,13
AG-2012-00816,General Records,Public,A copy of the property standards report and fire inspection report for {an address}. The inspections occurred in March.,"May 1, 2012","May 29, 2012",Disclosed in Part: Partially Exempt,25
AG-2012-00799,General Records,Public,"A copy of the building permit history, water sewage history, and home renovation issues (constructions or water problems) for {an address}. All records from 2001 to November 17, 2011.","May 1, 2012","May 17, 2012",Disclosed in Part: Partially Exempt,11
AG-2012-00807,General Records,Public,"A copy of the EMS 911 call record, transcript and/or master audio recording of the call relating to the motor vehicle accident at Wilson Avenue and Lexfield Avenue. The incident occurred on October 12, 2011.","May 1, 2012","June 4, 2012",All Disclosed,7
AG-2012-00786,General Records,Business,"A copy of the fire report for the Royal Canadian Yach Club. The incident occurred on February 21, 2012.","May 1, 2012","May 28, 2012",Disclosed in Part: Partially Exempt,8
AG-2012-00787,General Records,Business,"A copy of the fire report for {an address}. The incident occurred on April 18, 2012 around 11:30 a.m. Fire Report No. F12042299.","May 1, 2012","May 31, 2012",Disclosed in Part: Partially Exempt,22
AG-2012-00800,General Records,Public,A copy of all complaints against {an address} and associated records for the past 7 years.,"May 1, 2012","June 5, 2012",Disclosed in Part: Partially Exempt,13
